id,name
0,"brush hair: hairbrush, grooming, styling, hair care, personal care, bathroom"
1,"cartwheel: gymnastics, acrobatics, flip, rotation, athletic, outdoor"
2,"catch: ball, throwing, sports, catching, hand-eye coordination, teamwork"
3,"chew: eating, mouth, food, chewing, consumption, jaw movement"
4,"clap: applause, hands, clapping, celebration, appreciation, rhythm"
5,"climb: ascending, ladder, climbing, vertical movement, mountain, effort"
6,"climb stairs: staircase, ascending, steps, walking, indoor, upward movement"
7,"dive: swimming, pool, diving, water, jump, plunge"
8,"draw sword: weapon, blade, unsheathing, sword, medieval, action"
9,"dribble: basketball, ball control, sports, bouncing, athletic, court"
10,"drink: beverage, drinking, glass, consumption, liquid, hydration"
11,"eat: food, eating, meal, consumption, dining, nutrition"
12,"fall floor: falling, accident, collapse, ground, tripping, impact"
13,"fencing: sword fighting, sport, fencing, mask, combat, competition"
14,"flic flac: gymnastics, backflip, acrobatics, flip, tumbling, athletic"
15,"golf: golfing, club, swing, ball, sport, course"
16,"handstand: gymnastics, inverted, balance, hands, acrobatics, strength"
17,"hit: striking, punch, hitting, combat, impact, aggression"
18,"hug: embrace, hugging, affection, greeting, arms, warmth"
19,"jump: jumping, leap, hopping, vertical, movement, elevation"
20,"kick: kicking, leg, striking, martial arts, foot, movement"
21,"kick ball: soccer, football, ball, kicking, sports, field"
22,"kiss: kissing, affection, lips, romance, intimacy, embrace"
23,"laugh: laughing, joy, humor, happiness, emotion, smile"
24,"pick: picking up, grabbing, reaching, hand, object, lifting"
25,"pour: pouring, liquid, container, beverage, transfer, flowing"
26,"pullup: exercise, bar, pull-up, strength, gym, fitness"
27,"punch: punch, fist, hit, fight, boxing, jab"
28,"push: pushing, force, shoving, movement, effort, pressure"
29,"pushup: exercise, push-up, floor, fitness, arms, strength"
30,"ride bike: cycling, bicycle, riding, outdoor, transportation, pedaling"
31,"ride horse: horseback riding, equestrian, horse, saddle, outdoor, animal"
32,"run: running, jogging, sprint, movement, athletic, speed"
33,"shake hands: handshake, greeting, hands, meeting, agreement, introduction"
34,"shoot ball: basketball, shooting, ball, hoop, sports, throwing"
35,"shoot bow: archery, bow, arrow, target, aiming, shooting"
36,"shoot gun: firearm, gun, shooting, weapon, aiming, trigger"
37,"sit: sitting, chair, seated, resting, furniture, posture"
38,"situp: exercise, sit-up, abs, floor, fitness, core"
39,"smile: smiling, happy, face, expression, joy, teeth"
40,"smoke: smoking, cigarette, inhaling, tobacco, lighter, habit"
41,"somersault: flip, tumbling, rolling, gymnastics, rotation, acrobatics"
42,"stand: standing, upright, posture, vertical, feet, position"
43,"swing baseball: baseball, bat, swinging, hitting, sport, player"
44,"sword: sword fighting, blade, weapon, combat, medieval, duel"
45,"sword exercise: training, sword, practice, martial arts, weapon, movement"
46,"talk: talking, speaking, conversation, communication, mouth, dialogue"
47,"throw: throwing, tossing, ball, object, arm, motion"
48,"turn: turning, rotation, spinning, direction, movement, pivot"
49,"walk: walking, strolling, steps, movement, pedestrian, gait"
50,"wave: waving, hand, greeting, gesture, arm, hello"
